header,latitude,longitude,altitude,accuracy,speed,heading,tracking,gps_fix,status
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987852, nanosec=934764582, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17257023333333,-8.680202883333333,33.0,8.0,12.671589851379395,164.3000030517578,8,1,114
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987852, nanosec=934764582, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17257023333333,-8.680202883333333,33.0,8.0,12.671589851379395,164.3000030517578,8,1,114
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987852, nanosec=934764582, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17257023333333,-8.680202883333333,33.0,8.0,12.671589851379395,164.3000030517578,8,1,114
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987855, nanosec=30406297, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.172364433333335,-8.680173283333334,32.8,7.0,13.81489086151123,186.3000030517578,7,1,115
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987855, nanosec=30406297, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.172364433333335,-8.680173283333334,32.8,7.0,13.81489086151123,186.3000030517578,7,1,115
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987855, nanosec=30406297, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.172364433333335,-8.680173283333334,32.8,7.0,13.81489086151123,186.3000030517578,7,1,115
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987855, nanosec=30406297, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.172364433333335,-8.680173283333334,32.8,7.0,13.81489086151123,186.3000030517578,7,1,115
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987856, nanosec=16449489, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17227425,-8.680056583333334,31.9,6.0,12.576314926147461,139.3000030517578,6,1,116
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987856, nanosec=16449489, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17227425,-8.680056583333334,31.9,6.0,12.576314926147461,139.3000030517578,6,1,116
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987856, nanosec=16449489, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17227425,-8.680056583333334,31.9,6.0,12.576314926147461,139.3000030517578,6,1,116
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987856, nanosec=999781653, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17225776666667,-8.679989083333334,32.7,6.0,8.670035362243652,138.6999969482422,6,1,117
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987856, nanosec=999781653, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17225776666667,-8.679989083333334,32.7,6.0,8.670035362243652,138.6999969482422,6,1,117
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987856, nanosec=999781653, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17225776666667,-8.679989083333334,32.7,6.0,8.670035362243652,138.6999969482422,6,1,117
"std_msgs__msg__Header(stamp=builtin_interfaces__msg__Time(sec=1702987857, nanosec=968780968, __msgtype__='builtin_interfaces/msg/Time'), frame_id='gps', __msgtype__='std_msgs/msg/Header')",41.17225665,-8.67993905,32.1,6.0,7.240908622741699,103.9000015258789,6,1,118
